location,lat,lon,gauge_id,gauge_name
643.0,54.18,15.55,643.0,KOLOBRZEG
644.0,54.58,16.87,644.0,USTKA
645.0,54.8,18.42,645.0,WLADYSLAWOWO
646.0,76.8,110.75,646.0,ANDREIA
647.0,76.95,68.55,647.0,ZHELANIA_II
648.0,77.6,101.52,648.0,GEIBERGA
649.0,71.55,130.03,649.0,MUOSTAH
650.0,70.63,162.48,650.0,CHETYREHSTOLBOVOI
651.0,70.45,59.08,651.0,BOLVANSKII_NOS
652.0,74.67,112.93,652.0,PREOBRAZHENIA
653.0,73.33,70.05,653.0,POPOVA
655.0,77.17,96.43,655.0,RUSSKII
656.0,78.2,103.27,656.0,SOLNECHNAIA
657.0,72.83,140.73,657.0,SVIATOI_NOS
658.0,74.88,142.12,658.0,ZEMLIA_BUNGE
661.0,34.2,129.3,661.0,IZUHARA
662.0,64.42,-173.23,662.0,PROVIDENIA
663.0,35.48,135.4,663.0,MAIZURU_I
664.0,11.25,125.0,664.0,TACLOBAN
665.0,11.37,162.35,665.0,ENEWETOK
667.0,75.53,113.43,667.0,MARII_PRONCHISHEVOI
668.0,8.27,-82.87,668.0,PUERTO_ARMUELLES
669.0,34.03,131.8,669.0,TOKUYAMA_I
679.0,41.25,141.15,679.0,OMINATO
680.0,69.65,18.96,680.0,TROMSO
681.0,68.8,16.55,681.0,HARSTAD
682.0,63.11,7.73,682.0,KRISTIANSUND
683.0,-41.05,145.91,683.0,BURNIE
684.0,68.97,33.05,684.0,MURMANSK
685.0,43.51,16.39,685.0,SPLIT_RT_MARJANA
686.0,16.83,-99.92,686.0,ACAPULCO
687.0,68.97,33.05,687.0,MURMANSK_II
688.0,48.77,-123.45,688.0,FULFORD_HARBOUR
689.0,16.17,-95.2,689.0,SALINA_CRUZ
690.0,21.3,-89.67,690.0,PROGRESO
692.0,18.15,-94.42,692.0,COATZACOALCOS
693.0,27.92,-110.9,693.0,GUAYMAS
695.0,24.17,-110.35,695.0,LA_PAZ
696.0,12.85,74.83,696.0,MANGALORE
701.0,34.14,135.19,701.0,KAINAN
703.0,57.12,8.6,703.0,HANSTHOLM
704.0,79.5,76.98,704.0,VISE
707.0,77.5,82.2,707.0,UEDINENIA
708.0,69.88,175.77,708.0,BILLINGA
710.0,76.18,62.58,710.0,RUSSKAIA_GAVAN_II
711.0,76.2,62.58,711.0,RUSSKAYA_GAVAN
712.0,23.2,-106.42,712.0,MAZATLAN
721.0,40.9,140.86,721.0,ASAMUSHI
722.0,35.29,139.65,722.0,YOKOSUKA
723.0,38.87,121.68,723.0,DALIAN
724.0,1.47,103.83,724.0,SEMBAWANG
725.0,28.95,-95.31,725.0,FREEPORT
726.0,-25.02,-47.93,726.0,CANANEIA
727.0,24.45,118.07,727.0,XIAMEN
728.0,75.95,82.95,728.0,IZVESTIA_TSIK
729.0,79.55,90.62,729.0,GOLOMIANYI
730.0,69.93,167.98,730.0,AION
731.0,37.53,121.38,731.0,YANTAI
732.0,71.42,67.58,732.0,MORZHOVAIA
734.0,77.15,89.2,734.0,ISACHENKO
735.0,71.95,132.77,735.0,BUORHAIA
736.0,73.65,109.73,736.0,KOSYSTYI
737.0,19.05,-104.33,737.0,MANZANILLO
738.0,78.6,98.83,738.0,KRASNOFLOTSKIE
752.0,38.56,139.55,752.0,NEZUGASEKI
753.0,37.36,138.51,753.0,KASHIWAZAKI
754.0,52.47,1.75,754.0,LOWESTOFT
755.0,55.75,-4.91,755.0,MILLPORT
756.0,21.95,-159.35,756.0,NAWILIWILI_BAY
757.0,53.88,-166.54,757.0,UNALASKA
758.0,70.66,23.68,758.0,HAMMERFEST
759.0,17.97,-67.05,759.0,MAGUEYES_ISLAND
760.0,42.66,18.06,760.0,DUBROVNIK
761.0,45.08,13.63,761.0,ROVINJ
762.0,54.66,11.35,762.0,RODBYHAVN
763.0,43.36,-8.4,763.0,LA_CORUNA_II
764.0,-34.65,-54.15,764.0,LA_PALOMA
765.0,53.4,-3.02,765.0,BIRKENHEAD
766.0,33.6,-117.88,766.0,NEWPORT_BAY
767.0,70.37,72.57,767.0,TADIBE-IAHA
768.0,18.77,-95.77,768.0,ALVARADO
772.0,44.35,143.37,772.0,MONBETU_I
775.0,41.77,-70.5,775.0,SANDWICH_MARINA
776.0,41.74,-70.62,776.0,BUZZARDS_BAY
786.0,39.56,-75.57,786.0,REEDY_POINT
787.0,-41.26,173.27,787.0,NELSON
788.0,43.73,7.42,788.0,MONACO
789.0,54.37,10.16,789.0,KIEL-HOLTENAU
790.0,73.55,118.67,790.0,TERPIAI-TUMSA
791.0,41.18,-8.7,791.0,LEIXOES
792.0,70.08,170.93,792.0,VALKARKAI
795.0,31.85,-116.63,795.0,ENSENADA
796.0,18.63,-91.85,796.0,CIUDAD_DEL_CARMEN
808.0,35.01,138.52,808.0,SHIMIZU-MINATO
809.0,34.01,134.59,809.0,KOMATSUSHIMA
810.0,32.62,130.45,810.0,MISUMI
811.0,35.55,133.24,811.0,SAKAI
812.0,34.49,133.95,812.0,UNO
813.0,41.78,140.72,813.0,HAKODATE_I
814.0,31.58,131.41,814.0,ABURATSU
815.0,32.78,132.96,815.0,TOSA_SHIMIZU
816.0,34.22,135.15,816.0,WAKAYAMA
817.0,34.34,135.18,817.0,TAN-NOWA
818.0,-31.52,159.07,818.0,LORD_HOWE_ISLAND
819.0,-38.03,-57.52,819.0,MAR_DEL_PLATA
820.0,-33.95,25.63,820.0,PORT_ELIZABETH
821.0,-29.06,167.95,821.0,NORFOLK_ISLAND
822.0,-27.37,153.17,822.0,BRISBANE
823.0,21.43,-157.79,823.0,MOKUOLOE_ISLAND
824.0,52.98,158.65,824.0,PETROPAVLOVSK-KAMCHATSKY
825.0,-23.85,151.31,825.0,GLADSTONE
826.0,-34.19,18.44,826.0,SIMONS_BAY
827.0,59.55,150.72,827.0,NAGAEVO
828.0,29.29,-94.79,828.0,GALVESTON_I
829.0,53.25,-132.07,829.0,QUEEN_CHARLOTTE_CITY
830.0,60.15,-1.14,830.0,LERWICK
831.0,-34.47,150.91,831.0,PORT_KEMBLA
832.0,-34.57,-58.4,832.0,PALERMO
833.0,-37.07,149.91,833.0,EDEN
834.0,-33.32,115.66,834.0,BUNBURY
835.0,-17.5,140.83,835.0,KARUMBA
836.0,-29.26,16.87,836.0,PORT_NOLLOTH
837.0,-32.92,151.79,837.0,NEWCASTLE_V
838.0,-42.88,147.34,838.0,HOBART
839.0,62.02,-6.77,839.0,TORSHAVN
841.0,20.67,106.8,841.0,HONDAU
842.0,48.55,-124.42,842.0,PORT_RENFREW
843.0,39.45,-31.12,843.0,SANTA_CRUZ_DAS_FLORES
845.0,33.97,130.95,845.0,SHIMONOSEKI_I
846.0,34.68,135.18,846.0,KOBE
847.0,34.35,134.05,847.0,TAKAMATSU
848.0,40.95,-73.08,848.0,PORT_JEFFERSON
852.0,-22.3,166.43,852.0,NOUMEA-CHALEIX
856.0,40.89,-73.78,856.0,NEW_ROCHELLE
857.0,-38.03,-57.53,857.0,MAR_DEL_PLATA
859.0,69.6,60.22,859.0,BELYI_NOS
860.0,35.08,136.88,860.0,NAGOYA
910.0,-34.18,22.14,910.0,MOSSEL_BAY
911.0,-26.64,15.15,911.0,LUDERITZ
912.0,33.95,130.97,912.0,MOZI
913.0,-65.25,-64.26,913.0,ARGENTINE_ISLANDS
914.0,-22.95,14.5,914.0,WALVIS_BAY
916.0,55.37,-7.33,916.0,MALIN_HEAD
917.0,71.87,82.7,917.0,SOPOCHNAIA_KARGA
918.0,21.0,-97.33,918.0,TUXPAN
919.0,26.07,-97.15,919.0,PADRE_ISLAND
933.0,21.58,111.82,933.0,ZHAPO
934.0,28.08,121.28,934.0,KANMEN
935.0,-12.47,130.85,935.0,DARWIN
