gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high
563,GIBARA,CUBA,21.11,-76.12,0.22,0.59,2.05,0.24,0.59,2.05
564,MACKAY,AUSTRALIA,-21.1,149.23,0.26,0.6,2.1,0.26,0.58,2.09
565,LAS_PALMAS_C,SPAIN,28.15,-15.41,0.3,0.68,2.13,0.28,0.64,2.08
566,CORDOVA,UNITED STATES,60.56,-145.75,0.25,0.59,1.87,-0.02,0.31,1.58
567,KODIAK_ISLAND,UNITED STATES,57.73,-152.51,-0.82,-0.45,0.94,0.09,0.43,1.82
568,SANTA_CRUZ_DE_LA_PALMA_B,SPAIN,28.67,-17.77,0.2,0.61,2.11,0.27,0.65,2.14
569,TIKSI,RUSSIAN FEDERATION,71.58,128.92,0.26,0.75,2.21,0.17,0.66,2.11
571,TALCAHUANO,CHILE,-36.68,-73.1,0.12,0.41,1.7,0.23,0.5,1.79
572,CARTAGENA,COLOMBIA,10.4,-75.55,0.45,0.82,2.31,0.29,0.64,2.13
575,KANTON_ISLAND,KIRIBATI,-2.8,-171.72,0.19,0.56,2.17,0.24,0.6,2.22
578,SALVADOR,BRAZIL,-12.97,-38.52,0.22,0.58,2.05,0.26,0.59,2.06
580,BELEM,BRAZIL,-1.45,-48.5,0.21,0.57,2.0,0.29,0.62,2.05
581,NAOS_ISLAND,PANAMA,8.92,-79.55,0.28,0.62,2.12,0.29,0.62,2.13
593,ARRECIFE,SPAIN,28.97,-13.53,0.2,0.56,1.99,0.27,0.62,2.04
595,WAKE_ISLAND,MARSHALL ISLANDS,19.29,166.62,0.27,0.66,2.35,0.26,0.64,2.33
596,KANDLA,INDIA,23.02,70.22,0.11,0.46,1.9,0.14,0.46,1.9
597,GLOUCESTER_POINT,UNITED STATES,37.25,-76.5,0.51,0.88,2.29,0.28,0.65,2.05
598,JOHNSTON_ISLAND,UNITED STATES MINOR OUTLYING ISLANDS,16.74,-169.53,0.22,0.61,2.3,0.27,0.65,2.34
599,AMDERMA,RUSSIAN FEDERATION,69.75,61.7,0.19,0.66,1.91,0.1,0.57,1.82
600,UST_KARA,RUSSIAN FEDERATION,69.25,64.52,0.15,0.62,1.89,0.11,0.58,1.84
601,FEDOROVA,RUSSIAN FEDERATION,77.72,104.3,0.16,0.65,2.03,0.08,0.56,1.94
602,SANNIKOVA,RUSSIAN FEDERATION,74.67,138.9,0.19,0.68,2.16,0.16,0.65,2.13
603,SHALAUROVA,RUSSIAN FEDERATION,73.18,143.23,0.13,0.63,2.13,0.18,0.67,2.17
